date,cell,experiment,level_3,time,Length,flow,stage,length_diff,neurite,speed,exclude
180814,6,1,744,8.5,28.80944,5.44236,2,0,short,0.640277647,FALSE
180814,6,1,746,7,21.91508,5.72,2,-6.89436,short,0.817142857,FALSE
180814,7,1,739,9,31.84324,7.19576,2.5,0,long,0.799528889,FALSE
180814,7,1,741,5,19.03,2.56564,2.5,-12.81324,short,0.513128,FALSE
180814,8,1,734,9.5,47.17416,4.4,2.5,0,long,0.463157895,FALSE
180814,8,1,736,9.5,25.18692,3.08,2.5,-21.98724,short,0.324210526,FALSE
180814,9,1,729,9.5,50.68008,0.98384,3,0,long,0.103562105,FALSE
180814,9,1,731,4.5,28.81076,5.4406,3,-21.86932,short,1.209022222,FALSE
180814,10,1,724,9.5,38.78996,3.52,2,0,short,0.370526316,FALSE
180814,10,1,726,8,22.65692,5.74728,2,-16.13304,short,0.71841,FALSE
180814,11,1,719,5,49.25008,3.35104,2.5,0,long,0.670208,FALSE
180814,11,1,721,4.5,23.01816,8.14132,2.5,-26.23192,short,1.809182222,FALSE
180814,12,1,714,9.5,45.37016,1.39128,2.5,-5.8344,short,0.146450526,FALSE
180814,12,1,716,9.5,50.22512,0,2.5,-0.97944,short,0,FALSE
