date,neuron,type,neurite,manipulation,Unnamed: 0,origin,branch,kymograph,time,MT-RFmed,MT-RFstd,MT-RFnb,MT-RFmed_pos,MT-RFstd_pos,MT-RFnb_pos,MT-RFmed_neg,MT-RFstd_neg,MT-RFnb_neg,frame
220509,2,dendrite,2,early,85,0.5,0.5,54,129.0,-0.027191011235955,,1.0,,,,-0.027191011235955,,1.0,86.0
220509,2,dendrite,2,out_of_bounds,96,0.5,0.5,54,145.5,-0.027191011235955,,1.0,,,,-0.027191011235955,,1.0,97.0
220509,3,axon,0,before,6,0.5,0.5,48,9.0,0.0,,1.0,,,,,,,6.0
220509,3,axon,0,early,86,0.5,0.5,48,129.0,0.0,,1.0,,,,,,,86.0
220509,3,axon,0,out_of_bounds,109,0.5,0.5,48,163.5,0.0,,1.0,,,,,,,109.0
220509,3,dendrite,1,before,6,0.5,0.5,49,9.0,0.0,,1.0,,,,,,,6.0
220509,3,dendrite,1,early,86,0.5,0.5,49,129.0,-0.0078014184397163,,1.0,,,,-0.0078014184397163,,1.0,86.0
220509,3,dendrite,1,out_of_bounds,149,0.5,0.5,49,223.5,-0.0078014184397163,,1.0,,,,-0.0078014184397163,,1.0,149.0
220509,3,dendrite,2,before,6,0.5,0.5,50,9.0,0.0,,1.0,,,,,,,6.0
220509,3,dendrite,2,early,71,0.5,0.5,50,108.0,-0.01375,,1.0,,,,-0.01375,,1.0,72.0
220509,4,axon,0,before,6,0.5,0.5,44,9.0,0.0,,1.0,,,,,,,6.0
220509,4,axon,0,early,86,0.5,0.5,44,129.0,0.0,,1.0,,,,,,,86.0
220509,4,axon,0,out_of_bounds,311,0.5,0.5,44,466.5,0.0,,1.0,,,,,,,311.0
220509,4,dendrite,1,before,6,0.5,0.5,45,9.0,-0.0488888888888888,,1.0,,,,-0.0488888888888888,,1.0,6.0
220509,4,dendrite,1,early,51,0.5,0.5,45,129.0,-0.0122222222222222,,1.0,0.0078571428571428,,1.0,-0.0122222222222222,,1.0,86.0
