,date,neuron,Unnamed: 0,kymograph,frame,time,MT-RFmed,MT-RFstd,MT-RFnb,MT-RFmed_pos,MT-RFstd_pos,MT-RFnb_pos,MT-RFmed_neg,MT-RFstd_neg,MT-RFnb_neg,neurite,manipulation,condition
120,220429.0,1.0,68,391,72.0,108.0,0.4155555555555555,,1.0,0.4155555555555555,,1.0,,,,2,early,wt
121,220429.0,1.0,69,391,73.0,109.5,0.4155555555555555,,1.0,0.4155555555555555,,1.0,,,,2,early,wt
122,220429.0,1.0,63,391,56.0,84.0,-0.1527777777777778,,1.0,,,,-0.1527777777777778,,1.0,2,before,wt
123,220429.0,1.0,54,391,47.0,70.5,-0.0947222222222222,0.0821029540377713,2.0,,,,-0.0947222222222222,0.0821029540377713,2.0,2,before,wt
124,220429.0,1.0,53,391,46.0,69.0,-0.0947222222222222,0.0821029540377713,2.0,,,,-0.0947222222222222,0.0821029540377713,2.0,2,before,wt
125,220429.0,1.0,52,391,45.0,67.5,-0.0947222222222222,0.0821029540377713,2.0,,,,-0.0947222222222222,0.0821029540377713,2.0,2,before,wt
126,220429.0,1.0,37,391,26.0,39.0,-0.3568888888888889,0.0553114637728144,2.0,,,,-0.3568888888888889,0.0553114637728144,2.0,2,before,wt
127,220429.0,1.0,38,391,27.0,40.5,-0.3568888888888889,0.0553114637728144,2.0,,,,-0.3568888888888889,0.0553114637728144,2.0,2,before,wt
128,220429.0,1.0,39,391,28.0,42.0,-0.3177777777777777,,1.0,,,,-0.3177777777777777,,1.0,2,before,wt
129,220429.0,1.0,40,391,29.0,43.5,-0.3177777777777777,,1.0,,,,-0.3177777777777777,,1.0,2,before,wt
130,220429.0,1.0,41,391,34.0,51.0,-0.1527777777777778,,1.0,,,,-0.1527777777777778,,1.0,2,before,wt
131,220429.0,1.0,42,391,35.0,52.5,-0.1527777777777778,,1.0,,,,-0.1527777777777778,,1.0,2,before,wt
132,220429.0,1.0,43,391,36.0,54.0,-0.1527777777777778,,1.0,,,,-0.1527777777777778,,1.0,2,before,wt
133,220429.0,1.0,44,391,37.0,55.5,-0.1527777777777778,,1.0,,,,-0.1527777777777778,,1.0,2,before,wt
134,220429.0,1.0,45,391,38.0,57.0,-0.0947222222222222,0.0821029540377713,2.0,,,,-0.0947222222222222,0.0821029540377713,2.0,2,before,wt
135,220429.0,1.0,46,391,39.0,58.5,-0.0947222222222222,0.0821029540377713,2.0,,,,-0.0947222222222222,0.0821029540377713,2.0,2,before,wt
136,220429.0,1.0,47,391,40.0,60.0,-0.0947222222222222,0.0821029540377713,2.0,,,,-0.0947222222222222,0.0821029540377713,2.0,2,before,wt
137,220429.0,1.0,48,391,41.0,61.5,-0.0947222222222222,0.0821029540377713,2.0,,,,-0.0947222222222222,0.0821029540377713,2.0,2,before,wt
138,220429.0,1.0,49,391,42.0,63.0,-0.0947222222222222,0.0821029540377713,2.0,,,,-0.0947222222222222,0.0821029540377713,2.0,2,before,wt
139,220429.0,1.0,50,391,43.0,64.5,-0.0947222222222222,0.0821029540377713,2.0,,,,-0.0947222222222222,0.0821029540377713,2.0,2,before,wt
140,220429.0,1.0,51,391,44.0,66.0,-0.0947222222222222,0.0821029540377713,2.0,,,,-0.0947222222222222,0.0821029540377713,2.0,2,before,wt
141,220429.0,1.0,142,392,116.0,174.0,0.3137037037037037,0.0057616108096681,2.0,0.3137037037037037,0.0057616108096681,2.0,,,,1,late,wt
142,220429.0,1.0,143,392,117.0,175.5,0.3137037037037037,0.0057616108096681,2.0,0.3137037037037037,0.0057616108096681,2.0,,,,1,late,wt
143,220429.0,1.0,144,392,118.0,177.0,0.3137037037037037,0.0057616108096681,2.0,0.3137037037037037,0.0057616108096681,2.0,,,,1,late,wt
144,220429.0,1.0,145,392,119.0,178.5,0.3137037037037037,0.0057616108096681,2.0,0.3137037037037037,0.0057616108096681,2.0,,,,1,late,wt
145,220429.0,1.0,146,392,120.0,180.0,0.3137037037037037,0.0057616108096681,2.0,0.3137037037037037,0.0057616108096681,2.0,,,,1,late,wt
146,220429.0,1.0,147,392,121.0,181.5,0.3137037037037037,0.0057616108096681,2.0,0.3137037037037037,0.0057616108096681,2.0,,,,1,late,wt
147,220429.0,1.0,11,393,69.0,103.5,-1.5557666666666667,,1.0,,,,-1.5557666666666667,,1.0,0,early,wt
148,220429.0,7.0,11361,389,37.0,55.5,-0.66,,1.0,,,,-0.66,,1.0,0,before,wt
149,220429.0,7.0,11362,389,38.0,57.0,-0.66,,1.0,,,,-0.66,,1.0,0,before,wt
150,220429.0,7.0,11363,389,39.0,58.5,-0.66,,1.0,,,,-0.66,,1.0,0,before,wt
151,220429.0,7.0,11364,389,40.0,60.0,-0.66,,1.0,,,,-0.66,,1.0,0,before,wt
152,220429.0,7.0,11365,389,41.0,61.5,-0.66,,1.0,,,,-0.66,,1.0,0,before,wt
153,220429.0,7.0,11366,389,42.0,63.0,-0.66,,1.0,,,,-0.66,,1.0,0,before,wt
154,220429.0,7.0,11360,389,36.0,54.0,-0.66,,1.0,,,,-0.66,,1.0,0,before,wt
155,220429.0,7.0,11367,389,43.0,64.5,-0.66,,1.0,,,,-0.66,,1.0,0,before,wt
156,220429.0,7.0,11369,389,45.0,67.5,-0.5604761904761905,0.140747921207608,2.0,,,,-0.5604761904761905,0.140747921207608,2.0,0,before,wt
157,220429.0,7.0,11370,389,46.0,69.0,-0.4609523809523809,,1.0,,,,-0.4609523809523809,,1.0,0,before,wt
158,220429.0,7.0,11371,389,47.0,70.5,-0.4609523809523809,,1.0,,,,-0.4609523809523809,,1.0,0,before,wt
159,220429.0,7.0,11372,389,48.0,72.0,-0.4609523809523809,,1.0,,,,-0.4609523809523809,,1.0,0,before,wt
160,220429.0,7.0,11373,389,49.0,73.5,-0.4609523809523809,,1.0,,,,-0.4609523809523809,,1.0,0,before,wt
161,220429.0,7.0,11374,389,50.0,75.0,-0.4609523809523809,,1.0,,,,-0.4609523809523809,,1.0,0,before,wt
162,220429.0,7.0,11368,389,44.0,66.0,-0.66,,1.0,,,,-0.66,,1.0,0,before,wt
163,220429.0,7.0,11375,389,51.0,76.5,-0.4609523809523809,,1.0,,,,-0.4609523809523809,,1.0,0,before,wt
164,220429.0,7.0,11359,389,31.0,46.5,-0.5733333333333334,,1.0,,,,-0.5733333333333334,,1.0,0,before,wt
165,220429.0,7.0,11357,389,29.0,43.5,-0.5733333333333334,,1.0,,,,-0.5733333333333334,,1.0,0,before,wt
166,220429.0,7.0,11345,389,17.0,25.5,-0.4237037037037037,,1.0,,,,-0.4237037037037037,,1.0,0,before,wt
167,220429.0,7.0,11346,389,18.0,27.0,-0.4237037037037037,,1.0,,,,-0.4237037037037037,,1.0,0,before,wt
168,220429.0,7.0,11347,389,19.0,28.5,-0.4237037037037037,,1.0,,,,-0.4237037037037037,,1.0,0,before,wt
169,220429.0,7.0,11348,389,20.0,30.0,-0.4237037037037037,,1.0,,,,-0.4237037037037037,,1.0,0,before,wt
170,220429.0,7.0,11358,389,30.0,45.0,-0.5733333333333334,,1.0,,,,-0.5733333333333334,,1.0,0,before,wt
171,220429.0,7.0,11349,389,21.0,31.5,-0.4985185185185185,0.1058041257775427,2.0,,,,-0.4985185185185185,0.1058041257775427,2.0,0,before,wt
172,220429.0,7.0,11351,389,23.0,34.5,-0.4985185185185185,0.1058041257775427,2.0,,,,-0.4985185185185185,0.1058041257775427,2.0,0,before,wt
173,220429.0,7.0,11352,389,24.0,36.0,-0.4985185185185185,0.1058041257775427,2.0,,,,-0.4985185185185185,0.1058041257775427,2.0,0,before,wt
174,220429.0,7.0,11353,389,25.0,37.5,-0.4985185185185185,0.1058041257775427,2.0,,,,-0.4985185185185185,0.1058041257775427,2.0,0,before,wt
175,220429.0,7.0,11354,389,26.0,39.0,-0.5733333333333334,,1.0,,,,-0.5733333333333334,,1.0,0,before,wt
176,220429.0,7.0,11355,389,27.0,40.5,-0.5733333333333334,,1.0,,,,-0.5733333333333334,,1.0,0,before,wt
177,220429.0,7.0,11356,389,28.0,42.0,-0.5733333333333334,,1.0,,,,-0.5733333333333334,,1.0,0,before,wt
178,220429.0,7.0,11350,389,22.0,33.0,-0.4985185185185185,0.1058041257775427,2.0,,,,-0.4985185185185185,0.1058041257775427,2.0,0,before,wt
