,date,experiment,cell,kymograph,interval,time,region,tubb_mass,tubb_frac
21,220408,3,18,121,1,21,stationary,10910,0.08443749613027057
22,220408,3,18,121,1,22,stationary,4156,0.03689270401505535
23,220408,3,18,121,1,23,stationary,2568,0.02256610339282419
24,220408,3,18,121,1,24,stationary,1959,0.01735302194151881
0,220408,3,18,122,0,0,retrograde,39516,0.6556060656336066
1,220408,3,18,122,0,1,retrograde,0,
2,220408,3,18,122,0,2,retrograde,14257,0.7979961938878316
3,220408,3,18,122,0,3,retrograde,17302,0.8994593470576003
4,220408,3,18,122,0,4,retrograde,9609,0.7267982754708419
5,220408,3,18,122,0,5,retrograde,13217,0.9082600329851567
6,220408,3,18,122,0,6,retrograde,12524,0.8990667623833453
7,220408,3,18,122,0,7,retrograde,14134,0.9126364047265448
8,220408,3,18,122,0,8,retrograde,12652,0.8578208692114719
9,220408,3,18,122,0,9,retrograde,11787,0.84349506225848
10,220408,3,18,122,0,10,retrograde,12823,0.882761944100234
